attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
filename	Filename of corresponding tomography image	character			NA	Missing filename
tree	Tree identifier (ForestGEO tag number)	character			NA	Missing identifier
ert_mean	Mean electrical resistivity across cross-section	numeric	ohmMeter		NA	Missing measurement
ert_median	Median electrical resistivity across cross-section	numeric	ohmMeter		NA	Missing measurement
ert_sd	Standard deviation of electrical resistivity	numeric	ohmMeter		NA	Missing measurement
ert_cv	Coefficient of variation of electrical resistivity	numeric	dimensionless		NA	Missing measurement
ert_gini	Gini coefficient of electrical resistivity distribution	numeric	dimensionless		NA	Missing measurement
ert_entropy	Shannon entropy of electrical resistivity distribution	numeric	dimensionless		NA	Missing measurement
ert_cma	Cumulative moving average of electrical resistivity	numeric	dimensionless		NA	Missing measurement
ert_radialgradiant	Radial gradient of electrical resistivity from center to bark	numeric	ohmMeter		NA	Missing measurement
npixels	Number of pixels within cross-sectional boundary used for analysis	numeric	number		NA	Missing measurement
sot_solid	Percentage of cross-section classified as sound wood by sonic tomography	numeric	dimensionless		NA	Missing measurement
sot_damaged	Percentage of cross-section classified as damaged by sonic tomography	numeric	dimensionless		NA	Missing measurement
